epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,551.084,0.69223,0.64294,0.96601,0.68474,0.78237,0.75602,0.60037,0.80883,0.89576,1.0752,0.000990365,0.000990365,0.000990365
43,564.136,0.74553,0.64796,0.98898,0.71226,0.68412,0.73539,0.5892,0.81913,1.02991,1.07959,0.000973861,0.000973861,0.000973861
44,577.179,0.72013,0.64206,0.97224,0.67581,0.73858,0.72939,0.57792,0.80989,0.95862,1.05517,0.000957358,0.000957358,0.000957358
45,590.236,0.69421,0.60885,0.95121,0.65914,0.7866,0.76809,0.60907,0.79775,1.01169,1.06053,0.000940855,0.000940855,0.000940855
46,603.385,0.67537,0.59634,0.94365,0.66595,0.71697,0.72594,0.5747,0.81037,1.10949,1.06481,0.000924352,0.000924352,0.000924352
47,616.429,0.66808,0.59733,0.9376,0.71238,0.79303,0.75503,0.59355,0.8067,0.89676,1.04893,0.000907848,0.000907848,0.000907848
48,629.481,0.67788,0.58839,0.93807,0.68591,0.74866,0.72771,0.58792,0.78164,1.00373,1.04673,0.000891345,0.000891345,0.000891345
49,642.519,0.65185,0.57051,0.92565,0.72998,0.64974,0.73021,0.58015,0.82315,1.08334,1.08009,0.000874842,0.000874842,0.000874842
50,655.537,0.64633,0.5692,0.93326,0.73613,0.72638,0.75379,0.59653,0.81144,0.96918,1.07664,0.000858338,0.000858338,0.000858338
51,668.559,0.63294,0.55298,0.9236,0.73338,0.75857,0.76109,0.60831,0.82875,0.9765,1.08714,0.000841835,0.000841835,0.000841835
52,681.566,0.64233,0.57878,0.93749,0.64835,0.77594,0.74659,0.60053,0.78926,0.9962,1.0576,0.000825332,0.000825332,0.000825332
53,694.63,0.63062,0.52076,0.92342,0.73782,0.74703,0.75903,0.61645,0.79404,1.06055,1.07299,0.000808828,0.000808828,0.000808828
54,707.729,0.65803,0.56187,0.93045,0.74219,0.72283,0.76322,0.61869,0.78414,0.98479,1.04848,0.000792325,0.000792325,0.000792325
55,720.8,0.62984,0.54153,0.91421,0.70947,0.74981,0.72704,0.58513,0.7809,1.04906,1.06612,0.000775822,0.000775822,0.000775822
56,733.823,0.62393,0.54329,0.92436,0.69107,0.75169,0.73108,0.59208,0.79248,1.08183,1.06176,0.000759318,0.000759318,0.000759318
57,746.873,0.62207,0.5319,0.91405,0.71483,0.70235,0.74058,0.59874,0.80144,1.05544,1.08232,0.000742815,0.000742815,0.000742815
58,759.896,0.60607,0.52033,0.90703,0.76331,0.76465,0.76948,0.61687,0.81119,0.87543,1.07902,0.000726312,0.000726312,0.000726312
59,772.928,0.61724,0.50868,0.90676,0.72407,0.71434,0.71742,0.58227,0.81118,1.15379,1.05738,0.000709809,0.000709809,0.000709809
